column,null_rate
asof_pitcher_prev5_game_success_rate,0.019785206617621138
asof_pitcher_prev3_game_middle_rate,0.019785206617621138
asof_pitcher_prev1_game_success_rate,0.019785206617621138
asof_pitcher_prev3_game_success_rate,0.019785206617621138
asof_pitcher_prev1_game_middle_rate,0.019785206617621138
asof_pitcher_prev5_game_middle_rate,0.019785206617621138
asof_batter_middle_rate,0.0005626767686354478
asof_batter_success_rate,0.0005626767686354478
asof_pitcher_success_rate,0.0005369156635653912
asof_pitcher_fastball_rate,0.0005369156635653912
asof_pitcher_breaking_rate,0.0005369156635653912
asof_pitcher_offspeed_rate,0.0005369156635653912
asof_pitcher_strike_rate,0.0005369156635653912
asof_pitcher_ball_rate,0.0005369156635653912
asof_pitcher_middle_rate,0.0005369156635653912
asof_pitcher_reverse_rate,0.0005369156635653912
batter_team_id,0.0
pitcher_team_id,0.0
asof_pitcher_n,0.0
row_id,0.0
pitcher_hand,0.0
asof_batter_n,0.0
asof_pitcher_pitchmix_n,0.0
batter_hand,0.0
batter_id,0.0
season,0.0
pitcher_id,0.0
game_month,0.0
game_dayofweek,0.0
inning,0.0
top_bottom,0.0
game_type,0.0
balls_before,0.0
strikes_before,0.0
outs_before,0.0
run_top_before,0.0
run_bot_before,0.0
run_total_before,0.0
score_diff_home,0.0
score_diff_pitcher_team,0.0
runner_on_1b,0.0
runner_on_2b,0.0
runner_on_3b,0.0
num_runners_on,0.0
base_state,0.0
home_win_expectancy,0.0
away_win_expectancy,0.0
li,0.0
control_success,0.0
