season,game_type,rows,target_rate,season_share
2019,F,25786,0.6892499806096332,0.10861241802260196
2019,R,211627,0.5494903769367803,0.8913875819773981
2020,F,23213,0.5877740921035627,0.0951013368184295
2020,R,220874,0.5269248530836586,0.9048986631815705
2021,F,25861,0.7038397587100267,0.10466311597487535
2021,R,221227,0.5127629086865527,0.8953368840251247
2022,F,30448,0.7087493431424067,0.12303614146246848
2022,R,217024,0.5036908360365674,0.8769638585375316
2023,F,25686,0.47290352721326795,0.10461663781692292
2023,R,219839,0.5031181910398064,0.8953833621830771
2024,F,30010,0.45928023992002664,0.11837937413957011
2024,R,223497,0.4897067969592433,0.8816206258604299
