cutoff_season,pitcher_id,pitcher_trackman_id,pitcher_hand,rate_cost,count_cost,season_cost,assignment_cost,margin,mutual_nearest,main_history_n,trackman_history_n,high_confidence
2020,22419,67603,2,0.014199010610079513,0.004751847940865892,0.0026399155227032735,0.015835758234155544,0.03533269967904028,True,1894.0,1885.0,True
2020,22335,64893,1,0.014838526315789524,0.006535947712418301,0.00130718954248366,0.01627643481252155,0.040974436242825756,True,765.0,760.0,True
2020,23035,62528,1,0.014099855203619907,0.006741573033707865,0.003932584269662922,0.01648749565305811,0.04290581520836509,True,1780.0,1768.0,True
2020,23644,69391,1,0.002349032258064515,0.03125,0.03125,0.017974032258064515,0.1328041419545339,True,128.0,124.0,True
2020,23638,64995,1,0.014244850099403565,0.021400778210116732,0.009727626459143969,0.02085963609162146,0.0461372629171547,True,1028.0,1006.0,True
2020,22598,62611,2,0.0029555987064117384,0.040992448759439054,0.03559870550161812,0.02156401294589394,0.08155887415036857,True,927.0,889.0,True
2020,22029,61896,1,0.016794299212598417,0.015503875968992248,0.007751937984496124,0.021833058902520897,0.046556171157060136,True,129.0,127.0,True
2020,22743,79535,2,0.005349626220362627,0.03314121037463977,0.03602305475504323,0.022928876940823722,0.09407499502180061,True,694.0,717.0,True
2020,23137,68797,2,0.018867987735849,0.009345794392523364,0.009345794392523364,0.023540884932110682,0.08790184998110696,True,107.0,106.0,True
2020,23761,63292,1,0.017154855882352937,0.0023584905660377358,0.025943396226415096,0.02658881814650388,0.011485718995354915,True,424.0,425.0,True
2020,23536,64464,2,0.02054088627450979,0.019230769230769232,0.016826923076923076,0.029314924736048253,0.08754914854330398,True,416.0,408.0,True
2020,23717,61145,2,0.018895730824484713,0.01650793650793651,0.024761904761904763,0.030038587967341854,0.10867731956718713,True,1575.0,1601.0,True
2020,23206,69656,1,0.023752358717434863,0.023483365949119372,0.01761252446183953,0.0334392471714466,0.030859727576195692,True,1533.0,1497.0,True
2020,22776,62146,2,0.024346285289575255,0.02631578947368421,0.015037593984962405,0.03355681160536472,0.12488273047483572,True,266.0,259.0,True
2020,21414,75258,2,0.014572120109235347,0.04368471035137702,0.03798670465337132,0.03442017329062186,0.027969237708150504,True,1053.0,1007.0,True
2020,22302,68249,1,0.023819102449888663,0.02745995423340961,0.032036613272311214,0.03915091023020903,0.027713726531942595,True,437.0,449.0,True
2020,22220,69974,1,0.020488483516483483,0.040421792618629174,0.040421792618629174,0.04069937982579807,0.03661122847597933,True,569.0,546.0,True
2020,23630,72523,2,0.013773238986556326,0.04090419806243272,0.061356297093649086,0.04138357267869841,0.04682655794750559,True,929.0,967.0,True
2020,22782,68043,1,0.0041020936329588115,0.08097165991902834,0.08299595141700405,0.04529642561676448,0.018592185870900245,True,1976.0,2136.0,True
2020,21279,64805,1,0.007969318045112781,0.0905982905982906,0.07521367521367521,0.04788384795964269,0.021922039586144845,True,585.0,532.0,True
2020,23561,63492,2,0.023758504854368957,0.04568527918781726,0.07106598984771574,0.05548439317924205,0.016403504855549998,True,985.0,1030.0,True
